country,cn_code,description,product_group,year,default_direct_tco2e_per_ton,default_indirect_tco2e_per_ton,default_total_tco2e_per_ton,adopted_default_total_tco2e_per_ton,underlying_cbam_benchmark_route,has_country_value
Türkiye,26011200,Agglomerated iron ores and concentrates (excl. roasted iron pyrites),Iron and steel,2027,0.18,0.03,0.21,0.252,,true
Türkiye,26011200,Agglomerated iron ores and concentrates (excl. roasted iron pyrites),Iron and steel,2028,0.18,0.03,0.21,0.273,,true
Türkiye,7201,"Pig iron and spiegeleisen, in pigs, blocks or other primary forms",Iron and steel,2026,1.85,,1.85,2.035,,true
Türkiye,7201,"Pig iron and spiegeleisen, in pigs, blocks or other primary forms",Iron and steel,2027,1.85,,1.85,2.22,,true
Türkiye,7201,"Pig iron and spiegeleisen, in pigs, blocks or other primary forms",Iron and steel,2028,1.85,,1.85,2.405,,true
Türkiye,720211,"Ferro-manganese, containing by weight > 2% of carbon",Iron and steel,2026,1.69,,1.69,1.859,,true
Türkiye,720211,"Ferro-manganese, containing by weight > 2% of carbon",Iron and steel,2027,1.69,,1.69,2.028,,true
Türkiye,720211,"Ferro-manganese, containing by weight > 2% of carbon",Iron and steel,2028,1.69,,1.69,2.197,,true
Türkiye,720219,"Ferro-manganese, containing by weight <= 2% carbon",Iron and steel,2026,,,,,,false
Türkiye,720219,"Ferro-manganese, containing by weight <= 2% carbon",Iron and steel,2027,,,,,,false
Türkiye,720219,"Ferro-manganese, containing by weight <= 2% carbon",Iron and steel,2028,,,,,,false
Türkiye,720241,"Ferro-chromium, containing by weight > 4% of carbon",Iron and steel,2026,2.35,,2.35,2.585,,true
Türkiye,720241,"Ferro-chromium, containing by weight > 4% of carbon",Iron and steel,2027,2.35,,2.35,2.82,,true
Türkiye,720241,"Ferro-chromium, containing by weight > 4% of carbon",Iron and steel,2028,2.35,,2.35,3.055,,true
Türkiye,720249,"Ferro-chromium, containing by weight <= 4% of carbon",Iron and steel,2026,,,,,,false
Türkiye,720249,"Ferro-chromium, containing by weight <= 4% of carbon",Iron and steel,2027,,,,,,false
Türkiye,720249,"Ferro-chromium, containing by weight <= 4% of carbon",Iron and steel,2028,,,,,,false
Türkiye,72026000,Ferro-nickel,Iron and steel,2026,3.48,,3.48,3.828,,true
Türkiye,72026000,Ferro-nickel,Iron and steel,2027,3.48,,3.48,4.176,,true
Türkiye,72026000,Ferro-nickel,Iron and steel,2028,3.48,,3.48,4.524,,true
Türkiye,7203,"Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, in lumps, pellets or similar forms; iron having a minimum purity by weight of 99,94%, in lumps, pellets or similar forms",Iron and steel,2026,,,,,,false
Türkiye,7203,"Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, in lumps, pellets or similar forms; iron having a minimum purity by weight of 99,94%, in lumps, pellets or similar forms",Iron and steel,2027,,,,,,false
Türkiye,7203,"Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, in lumps, pellets or similar forms; iron having a minimum purity by weight of 99,94%, in lumps, pellets or similar forms",Iron and steel,2028,,,,,,false
Türkiye,7205,"Granules and powders of pig iron, spiegeleisen, iron or steel (excl. granules and powders of ferro-alloys, turnings and filings of iron or steel, radioactive iron powders ""isotopes"" and certain low-calibre, substandard balls for ballbearings)",Iron and steel,2026,1.89,,1.89,2.079,C,true
Türkiye,7205,"Granules and powders of pig iron, spiegeleisen, iron or steel (excl. granules and powders of ferro-alloys, turnings and filings of iron or steel, radioactive iron powders ""isotopes"" and certain low-calibre, substandard balls for ballbearings)",Iron and steel,2027,1.89,,1.89,2.268,C,true
Türkiye,7205,"Granules and powders of pig iron, spiegeleisen, iron or steel (excl. granules and powders of ferro-alloys, turnings and filings of iron or steel, radioactive iron powders ""isotopes"" and certain low-calibre, substandard balls for ballbearings)",Iron and steel,2028,1.89,,1.89,2.457,C,true
Türkiye,7206,"Iron and non-alloy steel in ingots or other primary forms (excl. remelting scrap ingots, products obtained by continuous casting and iron of heading 7203)",Iron and steel,2026,,,,,,false
Türkiye,7206,"Iron and non-alloy steel in ingots or other primary forms (excl. remelting scrap ingots, products obtained by continuous casting and iron of heading 7203)",Iron and steel,2027,,,,,,false
Türkiye,7206,"Iron and non-alloy steel in ingots or other primary forms (excl. remelting scrap ingots, products obtained by continuous casting and iron of heading 7203)",Iron and steel,2028,,,,,,false
Türkiye,72061000,"Ingots, of iron and non-alloy steel (excl. remelted scrap ingots, continuous cast products, iron of heading 7203)",Iron and steel,2026,1.96,,1.96,2.156,C,true
Türkiye,72061000,"Ingots, of iron and non-alloy steel (excl. remelted scrap ingots, continuous cast products, iron of heading 7203)",Iron and steel,2027,1.96,,1.96,2.352,C,true
Türkiye,72061000,"Ingots, of iron and non-alloy steel (excl. remelted scrap ingots, continuous cast products, iron of heading 7203)",Iron and steel,2028,1.96,,1.96,2.548,C,true
Türkiye,72069000,"Iron and non-alloy steel, in puddled bars or other primary forms (excl. ingots, remelted scrap ingots, continuous cast products, iron of heading 7203)",Iron and steel,2026,1.96,,1.96,2.156,C,true
Türkiye,72069000,"Iron and non-alloy steel, in puddled bars or other primary forms (excl. ingots, remelted scrap ingots, continuous cast products, iron of heading 7203)",Iron and steel,2027,1.96,,1.96,2.352,C,true
Türkiye,72069000,"Iron and non-alloy steel, in puddled bars or other primary forms (excl. ingots, remelted scrap ingots, continuous cast products, iron of heading 7203)",Iron and steel,2028,1.96,,1.96,2.548,C,true
Türkiye,7207,Semi-finished products of iron or non-alloy steel,Iron and steel,2026,,,,,,false
Türkiye,7207,Semi-finished products of iron or non-alloy steel,Iron and steel,2027,,,,,,false
Türkiye,7207,Semi-finished products of iron or non-alloy steel,Iron and steel,2028,,,,,,false
Türkiye,72071111,"Semi-finished products, of non-alloy free-cutting steel, containing by weight < 0,25% carbon, of square or rectangular cross-section, the width < twice the thickness, rolled or obtained by continuous casting",Iron and steel,2026,2.309671362,,2.309671362,2.5406384982,C,true
Türkiye,72071111,"Semi-finished products, of non-alloy free-cutting steel, containing by weight < 0,25% carbon, of square or rectangular cross-section, the width < twice the thickness, rolled or obtained by continuous casting",Iron and steel,2027,2.309671362,,2.309671362,2.7716056344,C,true
Türkiye,72071111,"Semi-finished products, of non-alloy free-cutting steel, containing by weight < 0,25% carbon, of square or rectangular cross-section, the width < twice the thickness, rolled or obtained by continuous casting",Iron and steel,2028,2.309671362,,2.309671362,3.0025727706,C,true
Türkiye,72071114,"Semi-finished products, of iron or non-alloy steel, containing by weight < 0,25% carbon, of square or rectangular cross-section, the width < twice the thickness of <= 130 mm, rolled or obtained by continuous casting (excl. free-cutting steel)",Iron and steel,2026,2.309671362,,2.309671362,2.5406384982,C,true
Türkiye,72071114,"Semi-finished products, of iron or non-alloy steel, containing by weight < 0,25% carbon, of square or rectangular cross-section, the width < twice the thickness of <= 130 mm, rolled or obtained by continuous casting (excl. free-cutting steel)",Iron and steel,2027,2.309671362,,2.309671362,2.7716056344,C,true
Türkiye,72071114,"Semi-finished products, of iron or non-alloy steel, containing by weight < 0,25% carbon, of square or rectangular cross-section, the width < twice the thickness of <= 130 mm, rolled or obtained by continuous casting (excl. free-cutting steel)",Iron and steel,2028,2.309671362,,2.309671362,3.0025727706,C,true
Türkiye,72071116,"Semi-finished products, of iron or non-alloy steel, containing by weight < 0,25% carbon, of square or rectangular cross-section, the width < twice the thickness of > 130 mm, rolled or obtained by continuous casting (excl. free-cutting steel)",Iron and steel,2026,2.309671362,,2.309671362,2.5406384982,C,true
Türkiye,72071116,"Semi-finished products, of iron or non-alloy steel, containing by weight < 0,25% carbon, of square or rectangular cross-section, the width < twice the thickness of > 130 mm, rolled or obtained by continuous casting (excl. free-cutting steel)",Iron and steel,2027,2.309671362,,2.309671362,2.7716056344,C,true
Türkiye,72071116,"Semi-finished products, of iron or non-alloy steel, containing by weight < 0,25% carbon, of square or rectangular cross-section, the width < twice the thickness of > 130 mm, rolled or obtained by continuous casting (excl. free-cutting steel)",Iron and steel,2028,2.309671362,,2.309671362,3.0025727706,C,true
Türkiye,72071190,"Semi-finished products of iron or non-alloy steel, containing by weight < 0,25% carbon, of rectangular cross-section, the width < twice the thickness, forged",Iron and steel,2026,3.08741784,,3.08741784,3.396159624,C,true
Türkiye,72071190,"Semi-finished products of iron or non-alloy steel, containing by weight < 0,25% carbon, of rectangular cross-section, the width < twice the thickness, forged",Iron and steel,2027,3.08741784,,3.08741784,3.704901408,C,true
Türkiye,72071190,"Semi-finished products of iron or non-alloy steel, containing by weight < 0,25% carbon, of rectangular cross-section, the width < twice the thickness, forged",Iron and steel,2028,3.08741784,,3.08741784,4.013643192,C,true
Türkiye,72071210,"Semi-finished products of iron or non-alloy steel, containing by weight < 0,25 of carbon, of rectangular ""other than square"" cross-section, the width measuring >= twice the thickness, rolled or obtained by continuous casting",Iron and steel,2026,2.309671362,,2.309671362,2.5406384982,C,true
Türkiye,72071210,"Semi-finished products of iron or non-alloy steel, containing by weight < 0,25 of carbon, of rectangular ""other than square"" cross-section, the width measuring >= twice the thickness, rolled or obtained by continuous casting",Iron and steel,2027,2.309671362,,2.309671362,2.7716056344,C,true
Türkiye,72071210,"Semi-finished products of iron or non-alloy steel, containing by weight < 0,25 of carbon, of rectangular ""other than square"" cross-section, the width measuring >= twice the thickness, rolled or obtained by continuous casting",Iron and steel,2028,2.309671362,,2.309671362,3.0025727706,C,true
Türkiye,72071290,"Semi-finished products of iron or non-alloy steel, containing by weight < 0,25% carbon, of rectangular ""other than square"" cross-section, the width >= twice the thickness, forged",Iron and steel,2026,3.08741784,,3.08741784,3.396159624,C,true
Türkiye,72071290,"Semi-finished products of iron or non-alloy steel, containing by weight < 0,25% carbon, of rectangular ""other than square"" cross-section, the width >= twice the thickness, forged",Iron and steel,2027,3.08741784,,3.08741784,3.704901408,C,true
Türkiye,72071290,"Semi-finished products of iron or non-alloy steel, containing by weight < 0,25% carbon, of rectangular ""other than square"" cross-section, the width >= twice the thickness, forged",Iron and steel,2028,3.08741784,,3.08741784,4.013643192,C,true
Türkiye,72071912,"Semi-finished products, of iron or non-alloy steel, containing by weight < 0,25% carbon, of circular or polygonal cross-section, rolled or obtained by continuous casting",Iron and steel,2026,2.309671362,,2.309671362,2.5406384982,C,true
Türkiye,72071912,"Semi-finished products, of iron or non-alloy steel, containing by weight < 0,25% carbon, of circular or polygonal cross-section, rolled or obtained by continuous casting",Iron and steel,2027,2.309671362,,2.309671362,2.7716056344,C,true
Türkiye,72071912,"Semi-finished products, of iron or non-alloy steel, containing by weight < 0,25% carbon, of circular or polygonal cross-section, rolled or obtained by continuous casting",Iron and steel,2028,2.309671362,,2.309671362,3.0025727706,C,true
Türkiye,72071919,"Semi-finished products of iron or non-alloy steel, containing by weight < 0,25% carbon, of circular or polygonal cross-section, forged",Iron and steel,2026,3.08741784,,3.08741784,3.396159624,C,true
Türkiye,72071919,"Semi-finished products of iron or non-alloy steel, containing by weight < 0,25% carbon, of circular or polygonal cross-section, forged",Iron and steel,2027,3.08741784,,3.08741784,3.704901408,C,true
Türkiye,72071919,"Semi-finished products of iron or non-alloy steel, containing by weight < 0,25% carbon, of circular or polygonal cross-section, forged",Iron and steel,2028,3.08741784,,3.08741784,4.013643192,C,true
Türkiye,72071980,"Semi-finished products of iron or non-alloy steel, containing by weight < 0,25% carbon (excl. semi-products, of square, rectangular, circular or polygonal cross-section)",Iron and steel,2026,2.309671362,,2.309671362,2.5406384982,C,true
Türkiye,72071980,"Semi-finished products of iron or non-alloy steel, containing by weight < 0,25% carbon (excl. semi-products, of square, rectangular, circular or polygonal cross-section)",Iron and steel,2027,2.309671362,,2.309671362,2.7716056344,C,true
Türkiye,72071980,"Semi-finished products of iron or non-alloy steel, containing by weight < 0,25% carbon (excl. semi-products, of square, rectangular, circular or polygonal cross-section)",Iron and steel,2028,2.309671362,,2.309671362,3.0025727706,C,true
Türkiye,72072011,"Semi-finished products, of non-alloy free-cutting steel, containing by weight >= 0,25% carbon, of square or rectangular cross-section, the width < twice the thickness, rolled or obtained by continuous casting",Iron and steel,2026,2.309671362,,2.309671362,2.5406384982,C,true
